id,repository,number,title,body,status,commits,additions,deletions,files,create_date
1,DandyDev/gapi-php,2,Namespaces,Added namespaces implementation and improved code style and phpdoc,merged,6,228,179,4,2013-06-07 01:04:41
2,fabpot/Pimple,75,Remove unused argument,Remove unused argument in protect method,closed,1,1,1,1,2013-07-01 01:09:21
3,vladkens/VK,3,опечатка,опечатка,merged,1,1,1,1,2013-03-14 10:39:06
4,vladkens/VK,5,Added namespaces,Added namespaces support,closed,1,16,6,3,2013-07-01 03:38:20
5,vladkens/VK,6,Base URLs moved into class constants,Base URLs moved into class constants,merged,3,11,8,1,2013-07-02 23:16:05
6,fuel/core,1484,Improved documentation,"",merged,1,354,135,13,2013-07-16 00:41:06
7,less/old-lesscss.org,94,Up version to actual (v1.4.2),"",merged,1,2,2,1,2013-09-19 08:17:35
8,spekkionu/htmlpurifier,1,"Updated version to 4.5.0, added information about authors","",merged,1,20,6,1,2013-09-21 01:46:29
9,pyrocms/pyrocms,3010,Correct redirect for Apache2 on Windows,At Apache2/Windows redirect dont`t work correctly. Instead redirect happens refrash.,closed,2,47,0,1,2013-09-26 09:32:36
10,imagecms/ImageCMS,71,"Added $site_keywords, $site_description & $meta_noindex vars into the carporate template","",closed,2,4,1,1,2013-09-29 10:38:43
11,imagecms/ImageCMS,74,Добавлены пробелы между словами в логе,"",closed,1,4,4,1,2013-10-11 02:45:26
12,morrisonlevi/Ardent,18,Corrected LinkedList::offsetExists for empty list,Corrected LinkedList::offsetExists for empty list,closed,2,5,1,1,2013-11-21 03:56:50
13,vhf/free-programming-books,632,Added books about Linux,Added books about Linux,closed,1,2,0,1,2014-01-17 11:59:24
14,yiisoft/yii,3180,Fix duplicate apply_time field SQL error in DB.,"When we do a few little megration (less than 1 sec long), we get the duplicate values error in the 'apply_time' field.
I think the change of timeformat (accurate to the microseconds) would solve this problem. But not to break backward compatibility I suggest to do ""sleep(1)"" for 1 second during the any mergation up process.
In this case the timestamp would be different.",closed,1,2,1,1,2014-01-25 08:12:07
16,agat/css-framework,12,"Исправленна подсветка для активных элементов форм f-valid, f-invalid","Исправленна подсветка для активных элементов форм f-valid, f-invalid.",open,2,11,1,1,2013-11-17 10:46:02
17,agat/css-framework,13,Обновил версию до 4.0.2,"",open,2,3,3,2,2013-11-29 01:59:53
18,slava-vishnyakov/gerar-php,3,Added debian implementation,Added debian implementation,merged,3,459,87,20,2014-02-02 10:50:04
19,slava-vishnyakov/gerar-php,4,"Added service stop, reload, force-reload actions","Added service stop, reload, force-reload actions",open,2,19,1,2,2014-02-02 22:59:51
20,Block8/PHPCI,293,Fixed composer plugin for using on Windows,"",closed,4,10,6,2,2014-03-06 10:04:57
21,Block8/PHPCI,295,Fixes for windows,"Background: https://github.com/Block8/PHPCI/pull/293

I don't see the profit in the additional tests, because interfaces haven't changed.
Everything else is possible I corrected.",merged,4,83,7,5,2014-03-08 12:54:04
22,Block8/PHPCI,298,Added database-based yml build config,"",closed,5,79,47,6,2014-03-10 10:22:42
23,Block8/PHPCI,299,A few minor fixes,"",merged,2,18,2,2,2014-03-12 11:07:28
24,Block8/PHPCI,300,A few fixes for windows,"",merged,4,33,6,7,2014-03-13 11:08:34
25,Block8/PHPCI,308,A few fixes,"",merged,3,12,2,2,2014-03-20 09:30:16
26,Block8/PHPCI,309,Added simple error/exception handle and logging,"",merged,5,120,8,4,2014-03-20 09:34:20
27,Block8/PHPCI,381,Humanized yaml application config,"",merged,1,1,1,1,2014-05-01 23:08:15
28,Block8/PHPCI,362,Restored lost install.php,"",closed,2,877,1,2,2014-04-16 07:59:58
29,Block8/PHPCI,404,Init abstraction of command execution on different operation systems,"",merged,8,219,120,8,2014-05-09 10:58:53
30,Block8/PHPCI,403,"Added SQLite plugin, improved SQL plugins","",merged,2,142,15,4,2014-05-09 10:52:20
31,Block8/PHPCI,397,Fixed duplicate methods of CommandExecutor helper,Fixed duplicate methods of CommandExecutor helper: executeCommand and buildAndExecuteCommand,merged,1,7,17,3,2014-05-09 01:28:03
32,Block8/PHPCI,449,Fixed key in add action when 'ssh-keygen' command is not available,associated ticket: https://github.com/Block8/PHPCI/issues/447,merged,1,3,3,1,2014-05-25 19:56:34
33,Block8/PHPCI,448,Installation fix,Doesnt load the database settings when saving admin user on the finish of PHPCI installation.,merged,3,27,5,1,2014-05-25 14:00:33
35,Block8/PHPCI,412,Fixed test for CommandExecutor,"",merged,2,3,3,1,2014-05-11 11:45:23
36,Block8/PHPCI,408,Fixed public key text outing of panel border,"![2014-05-11 11-54-53](https://cloud.githubusercontent.com/assets/1416706/2937717/8316d5a0-d8c8-11e3-8450-7d278d89ae0a.png)
![2014-05-11 11-51-47](https://cloud.githubusercontent.com/assets/1416706/2937715/21bd91a4-d8c8-11e3-99a3-5e4749e168d3.png)
",merged,1,4,0,1,2014-05-10 08:06:34
37,Block8/PHPCI,342,Added database-based yml build config #2,History: https://github.com/Block8/PHPCI/pull/298,merged,10,705,788,13,2014-04-10 10:54:25
38,Block8/PHPCI,458,Removed useless args,"",merged,1,10,10,1,2014-06-08 11:59:13
39,Block8/PHPCI,457,Project builds pagination improvements,"",merged,2,36,11,3,2014-06-08 11:11:40
40,ziadoz/awesome-php,166,Added Continuous Integration category (separated from Testing),"",merged,3,5,0,1,2014-07-12 21:53:07
41,ziadoz/awesome-php,165,Added AspectMock library,"",merged,1,1,0,1,2014-07-12 21:52:35
42,ziadoz/awesome-php,164,Feature added AspectMock,"",closed,2,2,0,1,2014-07-12 21:46:59
43,ziadoz/awesome-php,163,Added Yii2 framework,"",merged,1,1,0,1,2014-07-12 21:46:33
45,antono/valum,1,Fixed typo in README.md,"",merged,1,1,1,1,2014-07-28 02:51:44
46,yiisoft/yii2,5344,Added \Exception type to the type hinting,"",closed,2,7,7,3,2014-10-03 23:38:44
47,Codegyre/Robo,74,Small README fix,Added space between README badges.,merged,1,1,1,1,2014-11-08 07:19:24
49,Block8/PHPCI,680,Fixes for localization functionality,Fixes for https://github.com/Block8/PHPCI/pull/678,closed,17,1318,434,75,2014-12-05 02:19:08
50,Block8/PHPCI,679,Added Russian translation,Added Russian translation for https://github.com/Block8/PHPCI/pull/678,closed,15,1320,434,74,2014-12-04 18:35:01
48,Block8/PHPCI,683,Russian translation improvement,Russian translation improvement by @xboston,closed,17,1320,434,74,2014-12-05 10:15:48
44,Block8/PHPCI,491,Description fix for Windows users,"",closed,2,2,2,1,2014-07-12 21:24:11
62,corpsee/RoboCI,1,Added PHP version to composer.json requirements,Added PHP version to composer.json requirements,open,1,2,1,1,2015-03-05 18:35:02
59,salathe/phps.io,3,Added ePHP,Added ePHP,merged,1,5,0,1,2015-02-23 04:43:33
58,Block8/PHPCI,807,Updated lang.ru file,Updated lang.ru file,closed,1,3,0,1,2015-02-21 19:33:07
57,lepism/BemPHP,3,Добавил поддержку composer-а и тестов,"Добавил поддержку composer-а и тестов.

Что бы люди смогли пользоваться вашей библиотекой через https://packagist.org, вам еще нужно будет зарегистрировать ваш репозиторий там.",open,2,1129,626,44,2015-02-04 16:55:29
51,Block8/b8framework,38,Fixed class annotation in docs,Fixed class annotation in docs,open,1,15,15,3,2015-01-11 17:40:22
52,Block8/PHPCI,737,Ru lang fixes,Fixed 'manual_build' string for ru language,closed,2,1,1,1,2015-01-11 12:03:06
53,Block8/PHPCI,736,Controller layout fix,Fixed $controller->layout fatal error,closed,2,11,1,2,2015-01-11 12:01:54
69,Block8/PHPCI,932,Fixed ru strings for create build command,Fixed ru strings for create build command: https://github.com/Block8/PHPCI/pull/889,closed,2,5,5,1,2015-04-22 10:24:27
79,Codegyre/RoboCI,4,Fixed dependencies,I add to dependencies Robo and robo-docker versions that let RoboCI work in current state. Later I want to upgrade RoboCI for Robo 0.5.*.,merged,1,453,31,2,2015-10-12 18:56:28
70,Block8/PHPCI,958,Extended shields.io status badge support,"**Contribution Type:** feature

**Primary Area:** build status badge



**Description of change:**

Extended shields.io status badge support. Added support for 'style' and 'label' additional params.

",closed,4,10,1,1,2015-04-30 10:10:02
63,wapmorgan/ServerStat,2,Fixed license name,"Right license name is ""BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)"". http://opensource.org/licenses/alphabetical",merged,1,1,1,1,2015-03-07 20:54:50
66,anchorcms/anchor-cms,831,Added PostgreSQL support,Added PostgreSQL support,closed,1,73,0,2,2015-03-26 18:23:55
68,anchorcms/anchor-cms,841,Added ru_RU translation,Added ru_RU translation,closed,1,450,3,10,2015-04-11 14:24:49
76,Codegyre/RoboCI,3,Added PHP version to requirements,Added PHP version to requirements,merged,1,1,0,1,2015-10-12 17:27:19
64,Block8/PHPCI,870,Fixed 'start' string for ru lang,Fixed 'start' string for ru lang,closed,2,3,3,1,2015-03-16 06:44:23
65,Block8/PHPCI,873,Feature login by name/email, Improved login: now you can login using name or email,closed,5,69,3,13,2015-03-17 09:14:53
67,anchorcms/anchor-cms,830,Added LICENSE file and improved composer.json,Added LICENSE file and improved composer.json,merged,1,678,0,2,2015-03-26 18:23:30
72,robmorgan/phinx,557,Improved docs and fixed Commands interfaces,Improved docs and fixed Commands interfaces,closed,1,36,10,7,2015-05-17 07:17:09
77,adambard/learnxinyminutes-docs,1482,[PHP/ru] Improved PHP ru-ru translation,Improved PHP ru-ru translation,merged,1,31,30,1,2015-10-12 17:08:38
15,lokesh/lightbox2,57,Improved: correct overlay width,This measure prevents the appearance of horizontal scroll on the high images (greater than the height of the screen),closed,1,2,2,1,2013-07-10 21:49:09
60,Block8/PHPCI,835,Added default value in profile language select (current language),Added default value in profile language select (current language),closed,1,1,0,1,2015-02-27 09:56:11
80,adambard/learnxinyminutes-site,18,Added ru_ru translation,Added ru_ru translation,closed,1,8,0,1,2015-10-12 18:34:39
82,Block8/b8framework,42,Fixed checkbox controls layout,"**Contribution Type**: Bugfix

**Primary Area**: Form layout

**Description of change**:

Fixed checkbox controls layout (for AdminLTE2)

![example](https://cloud.githubusercontent.com/assets/1416706/10717069/7fe59d46-7b77-11e5-84cf-8ad672dad094.png)

",open,1,6,5,1,2015-10-25 18:21:43
54,romka/phpinternalsbook-ru,1,Fixed typo,Fixed typo,merged,1,1,1,1,2015-01-18 08:27:14
56,ziadoz/awesome-php,331,Added Nameless debug package,Added Nameless debug package. https://github.com/corpsee/nameless-debug,closed,1,1,0,1,2015-02-04 17:31:04
55,ziadoz/awesome-php,332,Added PHPell,Added PHPell to Development Environment.  https://github.com/corpsee/phpell,closed,1,1,0,1,2015-02-04 17:49:05
61,Block8/PHPCI,842,UI improvements,"UI improvements:

*  Added total builds count to the index page and the project page

*  Added date column to builds table on the project page.",merged,4,31,9,15,2015-02-28 17:43:30
71,Block8/PHPCI,942,Separated strings for 'archived'/'archived_menu',"Contribution Type: bug fix

Primary Area: view layout

Description of change:



Separated strings for 'archived'/'archived_menu'

",merged,1,15,4,12,2015-04-25 03:55:51
74,Block8/PHPCI,992,Fixed TapParser parse fail,"**Contribution Type:** bugfix

**Primary Area:** TapParser (PHPUnit plugin)



**Description of change:**

Tap parser failed on valid phpunit output (No tests and enabled code coverage):

```

TAP version 13



Generating code coverage report in HTML format ... done

```",merged,3,93,18,2,2015-05-24 06:15:49
73,Block8/PHPCI,993,Fixed GithubBuild::getDiffLineNumber method for correct phpcpd work,"**Contribution Type:** bugfix

**Primary Area:** phpcpd plugin



**Description of change:**

On processing phpcpd output GithubBuild throw error:

```

Warning: Illegal offset type in .../GithubBuild.php line 224

```",merged,1,2,0,1,2015-05-24 08:25:44
83,amnah/yii2-user,116,Fixed date to real GMT (UTC),Date without time zone shouldn`t be depend of the application time zone.,closed,1,16,16,6,2015-11-02 13:35:32
78,Block8/PHPCI,1085,Updated russian translation for Summary plugin section,"**Contribution Type**: Impovement

**Primary Area**: Russian translation

**Description of change**: Updated russian translation for Summary plugin section (added stage_broken and stage_fixed keys)",merged,1,2,0,1,2015-10-13 16:42:26
75,Block8/PHPCI,1076,Updated russian translation,"**Contribution Type**: Impovement

**Primary Area**: Russian translation

**Description of change**: Updated russian translation",merged,2,26,11,1,2015-10-10 12:26:20
88,mongodb/mongo-php-library,157,Documentation fixes,Documentation fixes,closed,2,648,9,41,2016-04-15 10:25:00
87,mongodb/mongo-php-library,158,Fixed composer lock,"Composer lock file file must be stored in the repository.
See https://blog.engineyard.com/2014/composer-its-all-about-the-lock-file, for example.",closed,1,978,1,3,2016-04-15 10:29:27
141,cakephp/phinx,1286,Added hasIndexByName method for Table class.,Added `hasIndexByName` method for Table class.,merged,1,11,1,1,2018-01-17 13:15:14
130,atinfo/awesome-test-automation,202,Added Sismo CI for PHP,Added Sismo CI for PHP.,merged,1,1,0,1,2017-10-08 06:01:48
101,ket4yii/docker-php-censor,11,Updated version PHP Censor from 0.8 -> 0.9,"Updated version PHP Censor from 0.8 -> 0.9 (v0.8 has bug with multiple install command runs. Admin account and default project group created many times).

P.S.: I think that command install should execute one time in Dockerfile.",merged,1,2,2,2,2017-02-11 16:50:19
91,Block8/PHPCI,1279,Added debug mode for cron run-builds command,"Contribution Type: feature/bugfix
Link to Intent to Implement: -
Link to Bug: -

This pull request affects the following areas:
- [ ] Front-End
- [X] Builder
- [ ] Build Plugins

**In raising this pull request, I confirm the following (please check boxes):**
- [X] I have read and understood the [contributing guidelines](/.github/CONTRIBUTING.md)?
- [X] I have checked that another pull request for this purpose does not exist.
- [X] I have considered, and confirmed that this submission will be valuable to others.
- [X] I have created or updated the relevant documentation for this change on the PHPCI Wiki.
- [X] Do the PHPCI tests pass?

Detailed description of change:
Added debug mode for cron run-builds command
",merged,1,8,1,1,2016-10-24 15:48:13
92,Block8/PHPCI,1278,Removed useless link + fixed some css/js paths,"Contribution Type: cosmetic
Link to Intent to Implement: -
Link to Bug: -

This pull request affects the following areas:
- [X] Front-End
- [ ] Builder
- [ ] Build Plugins

**In raising this pull request, I confirm the following (please check boxes):**
- [X] I have read and understood the [contributing guidelines](/.github/CONTRIBUTING.md)?
- [X] I have checked that another pull request for this purpose does not exist.
- [X] I have considered, and confirmed that this submission will be valuable to others.
- [X] I have created or updated the relevant documentation for this change on the PHPCI Wiki.
- [X] Do the PHPCI tests pass?

Detailed description of change:
Removed useless link + fixed some css/js paths
",closed,1,2,3,1,2016-10-24 15:17:47
94,Block8/PHPCI,1281,Added localization for email plugin log,"Contribution Type: cosmetic
Link to Intent to Implement:
Link to Bug:

This pull request affects the following areas:
- [ ] Front-End
- [ ] Builder
- [X] Build Plugins

**In raising this pull request, I confirm the following (please check boxes):**
- [X] I have read and understood the [contributing guidelines](/.github/CONTRIBUTING.md)?
- [X] I have checked that another pull request for this purpose does not exist.
- [X] I have considered, and confirmed that this submission will be valuable to others.
- [X] I have created or updated the relevant documentation for this change on the PHPCI Wiki.
- [X] Do the PHPCI tests pass?

Detailed description of change:
Added localization for email plugin log
",merged,1,2,2,1,2016-10-27 14:14:00
95,PHPixie/Database,11,Added PHP version (5.4) into require composer.json section and SQLite…,Added PHP version (5.4) into require composer.json section and SQLite into require-dev composer.json section,closed,1,3,0,1,2017-01-29 04:57:16
96,PHPixie/Test,2,Added PHPUnit and PHP version (5.4) into require composer.json section,Added PHPUnit and PHP version (5.4) into require composer.json section,open,1,4,0,1,2017-01-29 04:41:27
108,ket4yii/docker-php-censor,18,Updated version PHP Censor to 0.12.0,Updated version PHP Censor to 0.12.0,merged,1,2,2,2,2017-03-25 06:39:51
93,Block8/PHPCI,1280,Improved build status image (Added optional params for shield.io),"Contribution Type: new feature|cosmetic
Link to Intent to Implement:
Link to Bug:

This pull request affects the following areas:
- [X] Front-End
- [ ] Builder
- [ ] Build Plugins

**In raising this pull request, I confirm the following (please check boxes):**
- [X] I have read and understood the [contributing guidelines](/.github/CONTRIBUTING.md)?
- [X] I have checked that another pull request for this purpose does not exist.
- [X] I have considered, and confirmed that this submission will be valuable to others.
- [X] I have created or updated the relevant documentation for this change on the PHPCI Wiki.
- [X] Do the PHPCI tests pass?

Detailed description of change:
Improved build status image (Added optional params for shield.io)
",merged,1,17,2,1,2016-10-25 14:43:20
107,ket4yii/docker-php-censor,15,Updated version PHP Censor to 0.11.0,Updated version PHP Censor to 0.11.0,closed,1,2,2,2,2017-03-12 09:59:14
97,PHPixie/Database,10,Fixed typo: PostgreSQl -> PostgreSQL,Fixed typo: PostgreSQl -> PostgreSQL,merged,1,1,1,1,2017-01-29 04:05:00
106,LEXASOFT/PHP-Censor-Telegram-Plugin,1,Small fixes,Small fixes,merged,1,5,11,2,2017-02-20 13:21:12
105,REBELinBLUE/deployer,315,Added partial Russian translation,"- [x] I have read and understood the [Contributing Guidelines](https://github.com/REBELinBLUE/deployer/blob/master/.github/CONTRIBUTING.md)?
- [x] I have checked that another pull request for this purpose does not exist.
- [x] I have considered, and confirmed that this submission will be valuable to others.
- [ ] Do the TravisCI tests pass?
- [ ] Does the StyleCI test pass?

---

Added partial russian translation.

",merged,2,724,0,21,2017-02-19 09:50:29
